id,title,cluster_label,best_algorithm,best_k
1612248,Stardom 15th Anniversary Series ~ New Year Stars 2026 in Korakuen ~ Day 4,0,MiniBatchKMeans,2
1612069,Taistelu Lapinlahdesta,0,MiniBatchKMeans,2
1611270,The Sugar creek beast,0,MiniBatchKMeans,2
1610088,We'll Keep It Down,0,MiniBatchKMeans,2
1604256,SightNotSeeing,0,MiniBatchKMeans,2
1604241,Tamashi,0,MiniBatchKMeans,2
1604227,The Tragic Movement of the Spheres,0,MiniBatchKMeans,2
1604203,Room,0,MiniBatchKMeans,2
1604087,Veronique,0,MiniBatchKMeans,2
1604085,VITA,0,MiniBatchKMeans,2
1604075,You Do Not Exist,0,MiniBatchKMeans,2
1604043,peter kammerer/Pasolini,0,MiniBatchKMeans,2
1604039,"A Philological Quandary, Kenneth Anger’s ¡Que Viva Mexico!",0,MiniBatchKMeans,2
1603991,The Muscles Are Tense,0,MiniBatchKMeans,2
1603985,"My God, My Country",0,MiniBatchKMeans,2
1603974,Imagine Me Like a Country of Love,0,MiniBatchKMeans,2
1603953,FOTOGRAFAR,0,MiniBatchKMeans,2
1603941,Greetings from Rhodes,0,MiniBatchKMeans,2
1602457,Please Try Again Later,0,MiniBatchKMeans,2
1601618,Dear Kankan,0,MiniBatchKMeans,2
1601614,Diary of the Ghost,0,MiniBatchKMeans,2
1600724,Requiem For a Play,0,MiniBatchKMeans,2
1600617,Dead Dogs Don't Bite,0,MiniBatchKMeans,2
1600616,Dump,0,MiniBatchKMeans,2
1600610,Heart of Light: Eleven Songs For Fiji,0,MiniBatchKMeans,2
1600566,The Waves Saga,0,MiniBatchKMeans,2
1600149,Drax,0,MiniBatchKMeans,2
1599917,Ako Kantu,0,MiniBatchKMeans,2
1599914,Am I Mourning What I Never Lost?,0,MiniBatchKMeans,2
1599438,Treat Her Like a Lady,0,MiniBatchKMeans,2
1599249,Variations on a Theme,0,MiniBatchKMeans,2
1599208,La belle année,0,MiniBatchKMeans,2
1597879,Subterranean,0,MiniBatchKMeans,2
1597783,Forgive me,0,MiniBatchKMeans,2
1596053,"Still, Moving",0,MiniBatchKMeans,2
1596035,Father's Son,0,MiniBatchKMeans,2
1595834,Stolen Ties (2026),0,MiniBatchKMeans,2
1595234,Tudo Que Já Foi Luz,0,MiniBatchKMeans,2
1595143,One in Five,0,MiniBatchKMeans,2
1595126,Far from Maine,0,MiniBatchKMeans,2
1592019,Missing the Boat,0,MiniBatchKMeans,2
1591063,Nangong Cheng,0,MiniBatchKMeans,2
1589906,UFC 325: Volkanovski vs. Lopes 2,0,MiniBatchKMeans,2
1585036,Mickey & Richard,0,MiniBatchKMeans,2
1580744,Q&A,0,MiniBatchKMeans,2
1580569,The Misconceived,0,MiniBatchKMeans,2
1580162,IAI,0,MiniBatchKMeans,2
1572735,Wish You Well,0,MiniBatchKMeans,2
1568454,Alien Lasagna,0,MiniBatchKMeans,2
1568123,Art Is Dark and Full of Horrors,0,MiniBatchKMeans,2
1568076,Mayilaa,0,MiniBatchKMeans,2
1568038,Krakatoa,0,MiniBatchKMeans,2
1562316,Accept Our Sincere Apologies,0,MiniBatchKMeans,2
1535066,Mother of a son,0,MiniBatchKMeans,2
1533995,Buck a Slice,0,MiniBatchKMeans,2
1514238,The Next Time You Feel Important,0,MiniBatchKMeans,2
1512231,The Thing in the Coffin,0,MiniBatchKMeans,2
1501135,Three Wishes of Cinderella,0,MiniBatchKMeans,2
1391640,58th,0,MiniBatchKMeans,2
1220686,The Gymnast,0,MiniBatchKMeans,2
1196863,All you need to make a movie is a gun,0,MiniBatchKMeans,2
1001315,The Arab,0,MiniBatchKMeans,2
747509,Ah Girl,0,MiniBatchKMeans,2
1627052,Curva Acentuada,0,MiniBatchKMeans,2
1627003,Mer dun et för Kölle,0,MiniBatchKMeans,2
1626913,飞黄腾达,0,MiniBatchKMeans,2
1626873,The Bodysnatchers,0,MiniBatchKMeans,2
1626815,The Effect: Bad Bunny,0,MiniBatchKMeans,2
1626743,They Break the Tree of Peace,0,MiniBatchKMeans,2
1626658,The Cinema of Francis Lai,0,MiniBatchKMeans,2
1626645,A shot at art,0,MiniBatchKMeans,2
1626640,Birthmark,0,MiniBatchKMeans,2
1626633,Broken dawn,0,MiniBatchKMeans,2
1626596,Ivre Mort,0,MiniBatchKMeans,2
1626590,A Touch of Distinction,0,MiniBatchKMeans,2
1626583,Gueule d'ange,0,MiniBatchKMeans,2
1626580,shadow pups 1 & 2,0,MiniBatchKMeans,2
1626571,50 STEPS OF BEAUTY,0,MiniBatchKMeans,2
1626552,RAVAGE,0,MiniBatchKMeans,2
1626539,Figures,0,MiniBatchKMeans,2
1626536,I joined ISIS on Roblox,0,MiniBatchKMeans,2
1626533,L'une pour l'être,0,MiniBatchKMeans,2
1626530,Devagudi,0,MiniBatchKMeans,2
1626503,Raavana Rajyadalli Navadampathigalu,0,MiniBatchKMeans,2
1626428,Dominik Hašek: Always the Goalie,0,MiniBatchKMeans,2
1626398,NEXT,0,MiniBatchKMeans,2
1626383,BEFORE,0,MiniBatchKMeans,2
1626370,La beauté d'une histoire commune.,0,MiniBatchKMeans,2
1626353,BEURRE CONFITURE,0,MiniBatchKMeans,2
1626325,Le Ruban bleu,0,MiniBatchKMeans,2
1626215,V.Ø,0,MiniBatchKMeans,2
1626213,The Almanac,0,MiniBatchKMeans,2
1626210,APOLOGIE,0,MiniBatchKMeans,2
1626197,GLOW UP,0,MiniBatchKMeans,2
1626150,Glad I Met You,0,MiniBatchKMeans,2
1626063,Haunted,0,MiniBatchKMeans,2
1626022,Suivante,0,MiniBatchKMeans,2
1625985,When They Arrived,0,MiniBatchKMeans,2
1625920,"Take Me Home, Erlik",0,MiniBatchKMeans,2
1625911,Baby Boy,0,MiniBatchKMeans,2
1625861,Dear Allison,0,MiniBatchKMeans,2
1625830,Éclosion,0,MiniBatchKMeans,2
1625820,ET S'IL ÉTAIT MOCHE?,0,MiniBatchKMeans,2
1625806,Tour Eiffel : les 10 secrets de l'icône de Paris,0,MiniBatchKMeans,2
1625777,Lux,0,MiniBatchKMeans,2
1625601,Mono-Kage,0,MiniBatchKMeans,2
1625594,Concert du Nouvel An 2026,0,MiniBatchKMeans,2
1625555,Funérailles d'un extraterrestre,0,MiniBatchKMeans,2
1625505,Bout de Viande — Our Body has been taken from us,0,MiniBatchKMeans,2
1625474,Away For The Day,0,MiniBatchKMeans,2
1625289,Corps en toile,0,MiniBatchKMeans,2
1625288,The Kilbe,0,MiniBatchKMeans,2
1625266,How I Started A Film Festival,0,MiniBatchKMeans,2
1625260,Bechdel,0,MiniBatchKMeans,2
1625189,Ägg,0,MiniBatchKMeans,2
1625146,Marigold New Years Golden Garden 2026 ~ Day 5,0,MiniBatchKMeans,2
1625137,"""A Good Man""",0,MiniBatchKMeans,2
1625131,12.9 Kilometer,0,MiniBatchKMeans,2
1625125,NUMÉRO 56,0,MiniBatchKMeans,2
1624915,Those Trapped at Night,0,MiniBatchKMeans,2
1624837,Montreux Fashion Show by Nino Arial,0,MiniBatchKMeans,2
1624827,Marvin Gaye - Visionär des Soul,0,MiniBatchKMeans,2
1624777,Le Gala des Pièces Jaunes 2026 : Le concert événement,0,MiniBatchKMeans,2
1624762,Dua Matahari Terbenam di Ujung Kota,0,MiniBatchKMeans,2
1624666,Le Moment sera le Bon,0,MiniBatchKMeans,2
1624630,The Judgement,0,MiniBatchKMeans,2
1624576,Such a WonderFul Life,0,MiniBatchKMeans,2
1624544,Summa Daemoniaca Travesti,0,MiniBatchKMeans,2
1624470,Rouge Petals,0,MiniBatchKMeans,2
1624439,B,0,MiniBatchKMeans,2
1624080,The Woman Before Me,0,MiniBatchKMeans,2
1624075,Crownless,0,MiniBatchKMeans,2
1623927,Granny,0,MiniBatchKMeans,2
1623912,Valavaara,0,MiniBatchKMeans,2
1623823,NUMÉRO 12,0,MiniBatchKMeans,2
1623784,Unfinished,0,MiniBatchKMeans,2
1623713,Satiata,0,MiniBatchKMeans,2
1623709,Orphen,0,MiniBatchKMeans,2
1623641,Triloka,0,MiniBatchKMeans,2
1623435,Paatki,0,MiniBatchKMeans,2
1623254,Gros Lot,0,MiniBatchKMeans,2
1623187,Beyond the Silk Road,0,MiniBatchKMeans,2
1623054,Blen 2026,0,MiniBatchKMeans,2
1622806,Afrodite,0,MiniBatchKMeans,2
1622726,Muse,0,MiniBatchKMeans,2
1621929,Railway,0,MiniBatchKMeans,2
1621892,Fırtına Kız,0,MiniBatchKMeans,2
